"","Predicted","Actual"
"Actinomyces_graevenitzii",0.459233478066706,0
"Neisseria_macacae",0.176406220087367,0
"Streptococcus_intermedius",0.1744108811749,0
"Dialister_pneumosintes",0.0605399792315673,0
"Prevotella_fusca",0.100002543684033,0
"Veillonella_rodentium",0.336888508701746,0
"Haemophilus_parahaemolyticus",0.259858583374324,0
"Capnocytophaga_haemolytica",0.483679608029387,0
"Propionibacterium_acnes",0.444775830737279,0
"Granulicatella_elegans",0.206706829149105,0
"Veillonella_atypica",0.655905880204946,0
"Streptococcus_australis",0.245005495901549,0
"Campylobacter_rectus",0.144782998335681,0
"Scardovia_wiggsiae",0.144994317299123,0
"Morococcus_cerebrosus",0.233703666977918,0
"Streptococcus_salivarius",0.580334065248812,0
"Prevotella_buccae",0.288098956426962,0
"Streptococcus_mutans",0.40100974267804,0
"Neisseria_flavescens",0.236421935954646,0
"Prevotella_micans",0.0312355377700362,0
"Neisseria_bacilliformis",0.352397666841167,0
"Streptococcus_infantis",0.30708938459387,0
"Prevotella_histicola",0.0327537840716461,0
"Prevotella_multiformis",0.0146385657066563,0
"Veillonella_tobetsuensis",0.27146420163864,0
"Haemophilus_haemolyticus",0.30370584958841,0
"Porphyromonas_somerae",0.28471145135989,0
"Streptococcus_milleri",0.0344782718147209,0
