"","Predicted","Actual"
"Bacteroides_heparinolyticus",0.0783836656872071,0
"Campylobacter_mucosalis",0.277996191335288,0
"Kingella_potus",0.366838577891823,0
"Helicobacter_pylori",0.211931440903054,0
"Desulfobulbus_propionicus",0.164976896068693,0
"Gardnerella_vaginalis",0.30371003836936,0
"Parascardovia_denticolens",0.228958895600394,0
"Streptobacillus_moniliformis",0.29667153366552,0
"Pseudomonas_aeruginosa",0.115740127591359,0
"Treponema_lecithinolyticum",0.256954978659337,0
"Pyramidobacter_piscolens",0.382327402717896,0
"Prevotella_fusca",0.16223714717557,0
"Veillonella_rodentium",0.43217922829231,0
"Bulleidia_extructa",0.445205223550243,0
"Haemophilus_parahaemolyticus",0.546681878211991,0
"Lactobacillus_salivarius",0.0985108879550283,0
"Capnocytophaga_haemolytica",0.42012100989134,0
"Actinomyces_cardiffensis",0.267314585668468,0
"Escherichia_coli",0.194492059772116,0
"Lactobacillus_vaginalis",0.323775879036654,0
"Lactobacillus_fermentum",0.292819976922909,0
"Neisseria_subflava",0.338890577562593,0
"Cryptobacterium_curtum",0.310735331653886,0
"Lactococcus_lactis",0.306889256269156,0
"Streptococcus_australis",0.773076121196831,0
"Scardovia_wiggsiae",0.179494353413414,0
"Micrococcus_luteus",0.186114191881124,0
"Morococcus_cerebrosus",0.190405427002591,0
"Streptococcus_salivarius",0.421099218943435,0
"Neisseria_meningitidis",0.140351259868179,0
"Treponema_putidum",0.495715475804568,0
"Neisseria_mucosa",0.599708388667552,0
"Neisseria_dentiae",0.135959153710575,0
"Treponema_succinifaciens",0.227366445329791,0
"Neisseria_bacilliformis",0.457659128743243,0
"Agrobacterium_tumefaciens",0.191511572756592,0
"Rothia_terrae",0.156104943108452,0
"Finegoldia_magna",0.5019517634411,0
"Neisseria_canis",0.20328168593637,0
"Actinomyces_israelii",0.290961050313514,0
"Veillonella_tobetsuensis",0.595546360656664,0
"Streptococcus_pseudopneumoniae",0.356054255201417,0
"Lactobacillus_iners",0.235405459142713,0
"Pseudomonas_putida",0.106055592445034,0
"Actinobaculum_schaalii",0.172356461599489,0
"Dialister_succinatiphilus",0.411744828595224,0
"Ruminococcus_bromii",0.321606730970853,0
"Variovorax_paradoxus",0.185898408154691,0
"Enterococcus_faecium",0.216181001259132,0
