"","CoreAssociationScore","HealthAssociationScore","StabilityAssociationScore","HAC_Score","HAC_Score_RankScaled","mean_scores","RewardGini","HAC_Score_confirm"
"Treponema_vincentii",0.720547945205479,0.739556416621259,0.574348447266076,0.623081613245877,0.887550200803213,0.678150936364272,0.91879488744256,0.623081613245877
"Aggregatibacter_segnis",0.865753424657534,0.950189299913221,0.49918182372936,0.621372357372085,0.885542168674699,0.771708182766705,0.805190836702495,0.621372357372085
"Shuttleworthia_satelles",0.645205479452055,0.720643680248633,0.601992312378595,0.616396701403082,0.883534136546185,0.655947157359761,0.939704813851358,0.616396701403082
"Veillonella_sp_T11011_6",0.552054794520548,0.743716776654356,0.964459006421497,0.615942121898484,0.881526104417671,0.753410192532134,0.817538875905523,0.615942121898484
"Atopobium_parvulum",0.997260273972603,0.453583984177918,0.92838633048324,0.611851432946359,0.879518072289157,0.79307686287792,0.771490711160164,0.611851432946359
"Capnocytophaga_sputigena",0.901369863013699,0.464688200036326,0.918607129825082,0.610248754362117,0.877510040160643,0.761555064291702,0.801319278113776,0.610248754362117
"Kingella_oralis",0.821917808219178,0.815539545115134,0.500169606218866,0.605292919184289,0.875502008032129,0.712542319851059,0.849483465502528,0.605292919184289
"Prevotella_maculosa",0.76986301369863,0.520026740126334,0.871203410901681,0.603305497983766,0.873493975903614,0.720364388242215,0.837500448149459,0.603305497983766
"Selenomonas_dianae",0.683561643835616,0.559026558495288,0.763313160355225,0.600538253608731,0.8714859437751,0.668633787562043,0.898157204706031,0.600538253608731
"Solobacterium_moorei",0.932876712328767,0.429113539585478,0.976038406352647,0.597034597166574,0.869477911646586,0.779342886088964,0.766074352924062,0.597034597166574
"Prevotella_micans",0.591780821917808,0.592866037012371,0.906307685163048,0.592142560282663,0.867469879518072,0.696984848031076,0.849577378841758,0.592142560282663
"Rothia_aeria",0.901369863013699,0.902957861597142,0.435359310217974,0.590696161149882,0.865461847389558,0.746562344942938,0.79122147688152,0.590696161149882
"Capnocytophaga_haemolytica",0.505479452054794,0.974584468527376,0.752512447938277,0.587823784015955,0.863453815261044,0.744192122840149,0.789881760334379,0.587823784015955
"Neisseria_mucosa",0.706849315068493,0.888998809307582,0.521513889582708,0.583292364744636,0.86144578313253,0.705787337986261,0.82644209289568,0.583292364744636
"Lachnospiraceae_bacterium_oral_taxon_096",0.423287671232877,0.899729773364816,0.986669053115397,0.582101705276857,0.859437751004016,0.769895499237697,0.756078852069168,0.582101705276857
"Haemophilus_haemolyticus",0.698630136986301,0.691542047587334,0.520523489462774,0.577529675504294,0.857429718875502,0.636898558012136,0.906784397984598,0.577529675504294
"Veillonella_parvula",0.878082191780822,0.454220298278541,0.822558704688098,0.576999767081727,0.855421686746988,0.71828706491582,0.803299676779434,0.576999767081727
"Kingella_denitrificans",0.621917808219178,0.87504924219491,0.552333117464321,0.575528014382606,0.853413654618474,0.68310005595947,0.842523740646208,0.575528014382606
"Planobacterium_taklimakanense",0.621917808219178,0.552100260337834,0.76590995426541,0.575372776298282,0.85140562248996,0.646642674274141,0.889784728396004,0.575372776298282
"Dialister_invisus",0.857534246575342,0.551573328489839,0.621260745653002,0.574802467544226,0.849397590361446,0.676789440239394,0.849307677349261,0.574802467544226
"Prevotella_nigrescens",0.83013698630137,0.716249419789712,0.501158795453471,0.572855670232218,0.847389558232932,0.682515067181517,0.839330437931365,0.572855670232218
"Capnocytophaga_ochracea",0.887671232876712,0.534028677524167,0.645360891296053,0.571139415448129,0.845381526104418,0.689020267232311,0.828915262162474,0.571139415448129
"Tannerella_forsythia",0.947945205479452,0.407582692579363,0.877870211338813,0.564345198832513,0.843373493975904,0.744466036465876,0.758053653477019,0.564345198832513
"Treponema_amylovorum",0.683561643835616,0.709223930899477,0.490663080644954,0.554962601708508,0.84136546184739,0.627816218460016,0.883957096664033,0.554962601708508
"Aggregatibacter_aphrophilus",0.79041095890411,0.634293051603399,0.512867543613523,0.553342712943481,0.839357429718876,0.64585718470701,0.856757075783716,0.553342712943481
"Anaeroglobus_geminatus",0.706849315068493,0.551405017053137,0.556476727766052,0.553095587290775,0.837349397590361,0.604910353295894,0.914343066335693,0.553095587290775
"Haemophilus_parahaemolyticus",0.591780821917808,0.531754354099816,0.787348686654532,0.551763176705814,0.835341365461847,0.636961287557385,0.866242874542205,0.551763176705814
"Alloprevotella_tannerae",0.80958904109589,0.452441827611955,0.748461619141321,0.551115091455077,0.833333333333333,0.670164162616389,0.822358344712836,0.551115091455077
"Prevotella_stercorea",0.505479452054794,0.636316320558616,0.805539746161055,0.549091741556068,0.831325301204819,0.649111839591489,0.845912380679473,0.549091741556068
"Streptococcus_peroris",0.645205479452055,0.543676212387237,0.556782740521058,0.548045055098511,0.829317269076305,0.581888144120117,0.94183918444879,0.548045055098511
"Brachymonas_denitrificans",0.591780821917808,0.525975056002906,0.797259212583038,0.547910311307873,0.827309236947791,0.638338363501251,0.858338371365643,0.547910311307873
"Prevotella_denticola",0.821917808219178,0.456750216948195,0.729917211412483,0.547805881769624,0.825301204819277,0.669528412193285,0.818196616892009,0.547805881769624
"Prevotella_nanceiensis",0.958904109589041,0.430132187039616,0.777970595648209,0.54607832324248,0.823293172690763,0.722335630758955,0.755989736611384,0.54607832324248
"Streptococcus_sanguinis",0.947945205479452,0.903559564892737,0.366267883325681,0.5453651105147,0.821285140562249,0.739257551232623,0.737720040336915,0.5453651105147
"Megasphaera_micronuciformis",0.989041095890411,0.351840225222498,0.929408179264573,0.544362876569856,0.819277108433735,0.756763166792494,0.719330565303691,0.544362876569856
"Catenibacterium_mitsuokai",0.505479452054794,0.755636919537446,0.61603073190134,0.54232987867031,0.817269076305221,0.625715701164527,0.866735288344168,0.54232987867031
"Campylobacter_rectus",0.552054794520548,0.725004137151622,0.536747751029,0.541850098859516,0.815261044176707,0.604602227567057,0.896209233366444,0.541850098859516
"Treponema_lecithinolyticum",0.591780821917808,0.901161530544288,0.510796527626864,0.537791292390512,0.813253012048193,0.667912960029653,0.805181699673316,0.537791292390512
"Prevotella_enoeca",0.505479452054794,0.589867005711287,0.733409024020595,0.533608636606959,0.811244979919679,0.609585160595559,0.875363560500108,0.533608636606959
"Mogibacterium_diversum",0.552054794520548,0.523223446550019,0.834319528497336,0.532833895873529,0.808232931726908,0.636532589855968,0.837088162279478,0.532833895873529
"Veillonella_infantium",0.552054794520548,0.523223446550019,0.707241942537662,0.532833895873529,0.808232931726908,0.594173394536076,0.896764986068687,0.532833895873529
"Klebsiella_pneumoniae",0.423287671232877,0.750967689854897,0.807689725546323,0.532514344106883,0.805220883534137,0.660648362211365,0.806048080289515,0.532514344106883
"Prevotella_sp_oral_taxon_306",0.552054794520548,0.517299449052491,0.967567642092025,0.52888456420851,0.803212851405622,0.678973961888355,0.778946754802765,0.52888456420851
"Campylobacter_gracilis",0.857534246575342,0.762024681641137,0.407490421258259,0.525668508052552,0.801204819277108,0.67568311649158,0.777980824475881,0.525668508052552
"Treponema_socranskii",0.797260273972603,0.769056628524147,0.403096704046538,0.525083345539075,0.799196787148594,0.656471202181096,0.799857394801949,0.525083345539075
"Leptotrichia_shahii",0.76986301369863,0.442506912070392,0.683515612656499,0.522843145599094,0.79718875502008,0.63196184614184,0.827333404367809,0.522843145599094
"Actinomyces_lingnae",0.938356164383562,0.581682206211782,0.485116694556557,0.517305198441632,0.795180722891566,0.6683850217173,0.773962883118633,0.517305198441632
