"","HAC_Score_RankScaled","HACK_16s","HACK_WGS","HAC_Exposure"
"Streptococcus_pneumoniae",0.560240963855422,0.594594594594595,0.0614035087719298,0.805164319248826
"Prevotella_oralis",0.558232931726908,0.582120582120582,0.118421052631579,0.805164319248826
"Eubacterium_saphenum",0.556224899598394,0.673596673596674,0.596491228070175,0
"Odoribacter_denticanis",0.55421686746988,0.571725571725572,NA,0.386150234741784
"Escherichia_coli",0.552208835341365,0.577962577962578,NA,0.386150234741784
"Campylobacter_mucosalis",0.550200803212851,0.453222453222453,NA,0.386150234741784
"Haemophilus_haemoglobinophilus",0.548192771084337,0.521829521829522,NA,0
"Riemerella_anatipestifer",0.546184738955823,0.544698544698545,NA,0.386150234741784
"Prevotella_corporis",0.544176706827309,0.592515592515592,NA,0.386150234741784
"Neisseria_perflava",0.542168674698795,NA,0.368421052631579,NA
"Prevotella_fusca",0.540160642570281,0.528066528066528,0.289473684210526,0.386150234741784
"Eubacterium_rectale",0.538152610441767,0.53014553014553,NA,0.386150234741784
"Streptococcus_gordonii",0.536144578313253,0.351351351351351,0.741228070175439,0.962441314553991
"Mycoplasma_orale",0.534136546184739,0.525987525987526,NA,0.386150234741784
"Bacteroides_thetaiotaomicron",0.532128514056225,0.513513513513513,NA,0.386150234741784
"Natranaerovirga_hydrolytica",0.529116465863454,0.523908523908524,NA,NA
"Ottowia_pentelensis",0.529116465863454,0.567567567567568,NA,NA
"Sporanaerobacter_acetigenes",0.526104417670683,0.565488565488566,NA,0.386150234741784
"Phocaeicola_abscessus",0.524096385542169,0.517671517671518,NA,0.805164319248826
"Tannerella_sp_oral_taxon_HOT_286",0.522088353413655,NA,0.618421052631579,NA
"Veillonella_ratti",0.520080321285141,0.536382536382536,NA,0.386150234741784
"Clostridium_aminobutyricum",0.518072289156627,0.555093555093555,NA,0.386150234741784
"Streptococcus_uberis",0.516064257028112,0.420997920997921,NA,0
"Bacteroides_coprocola",0.514056224899598,0.575883575883576,NA,0.386150234741784
"Desulfobulbus_rhabdoformis",0.512048192771084,0.534303534303534,NA,0.386150234741784
