"","CoreAssociationScore","HealthAssociationScore","CHC_Score","CHC_Score_RankScaled","mean_score","reward_Score"
"Aggregatibacter_aphrophilus",0.68903803131991,0.566002787372256,0.566002787372256,0.760956175298805,0.627520409346083,0.901967137550263
"Streptococcus_mitis",0.914988814317673,0.565341372724565,0.565341372724565,0.756972111553785,0.740165093521119,0.763804423733519
"Selenomonas_infelix",0.825503355704698,0.564155392074478,0.564155392074478,0.752988047808765,0.694829373889588,0.811933711029502
"Streptococcus_parasanguinis",0.749440715883669,0.554604789930452,0.554604789930452,0.749003984063745,0.65202275290706,0.850591160289625
"Eubacterium_yurii",0.592841163310962,0.539577804629189,0.539577804629189,0.745019920318725,0.566209483970075,0.952964971278556
"Fusobacterium_nucleatum",0.995525727069351,0.538299929891442,0.538299929891442,0.741035856573705,0.766912828480397,0.701904975247394
"Atopobium_parvulum",0.825503355704698,0.536513752213988,0.536513752213988,0.733067729083665,0.681008553959343,0.78782233952089
"Oribacterium_sinus",0.825503355704698,0.536513752213988,0.536513752213988,0.733067729083665,0.681008553959343,0.78782233952089
"Streptococcus_gordonii",0.68903803131991,0.536513752213988,0.536513752213988,0.733067729083665,0.612775891766949,0.875546442708348
"Leptotrichia_hongkongensis",0.749440715883669,0.536513752213988,0.536513752213988,0.725099601593626,0.642977234048828,0.834421070922776
"Streptococcus_oralis",0.914988814317673,0.528130314511881,0.528130314511881,0.721115537848606,0.721559564414777,0.731928922514141
"Treponema_medium",0.592841163310962,0.507424742710634,0.507424742710634,0.717131474103586,0.550132953010798,0.922367474868706
"Treponema_maltophilum",0.68903803131991,0.507424742710634,0.507424742710634,0.713147410358566,0.598231387015272,0.84820815778708
"Aggregatibacter_actinomycetemcomitans",0.592841163310962,0.46414753091919,0.46414753091919,0.709163346613546,0.528494347115076,0.8782450246684
"Rothia_dentocariosa",0.991051454138702,0.460647100137199,0.460647100137199,0.705179282868526,0.725849277137951,0.634631892110642
"Capnocytophaga_gingivalis",0.979865771812081,0.457507883489646,0.457507883489646,0.701195219123506,0.718686827650863,0.636588658491321
"Tannerella_sp_oral_taxon_HOT_286",0.592841163310962,0.448945343997986,0.448945343997986,0.697211155378486,0.520893253654474,0.861875904224682
"Actinomyces_oris",0.68903803131991,0.448945343997986,0.448945343997986,0.693227091633466,0.568991687658948,0.789019160974251
"Streptococcus_intermedius",0.438478747203579,0.536513752213988,0.438478747203579,0.683266932270916,0.487496249708784,0.899450503394671
"Gemella_sanguinis",0.438478747203579,0.607094610159019,0.438478747203579,0.683266932270916,0.522786678681299,0.838733588831334
"Actinomyces_lingnae",0.438478747203579,0.536513752213988,0.438478747203579,0.683266932270916,0.487496249708784,0.899450503394671
"Stomatobaculum_longum",0.438478747203579,0.568944791322744,0.438478747203579,0.683266932270916,0.503711769263162,0.870495338723162
"Prevotella_pallens",0.438478747203579,0.448945343997986,0.438478747203579,0.651394422310757,0.443712045600783,0.988205642715609
"Prevotella_shahii",0.438478747203579,0.594781775124078,0.438478747203579,0.651394422310757,0.516630261163829,0.848728346295095
"Prevotella_marshii",0.438478747203579,0.488556949875977,0.438478747203579,0.651394422310757,0.463517848539778,0.945980286595048
"Neisseria_oralis",0.438478747203579,0.913063231179201,0.438478747203579,0.651394422310757,0.67577098919139,0.64885701549315
"Prevotella_nanceiensis",0.438478747203579,0.962215443294381,0.438478747203579,0.651394422310757,0.70034709524898,0.626087764450135
"Streptococcus_oligofermentans",0.438478747203579,0.594781775124078,0.438478747203579,0.651394422310757,0.516630261163829,0.848728346295095
"Haemophilus_sputorum",0.438478747203579,0.897981514074257,0.438478747203579,0.651394422310757,0.668230130638918,0.656179251875899
"Campylobacter_rectus",0.438478747203579,0.598038184297696,0.438478747203579,0.651394422310757,0.518258465750638,0.84606190960816
"Leptotrichia_trevisanii",0.438478747203579,0.448945343997986,0.438478747203579,0.651394422310757,0.443712045600783,0.988205642715609
"Streptococcus_lactarius",0.438478747203579,0.594781775124078,0.438478747203579,0.651394422310757,0.516630261163829,0.848728346295095
"Treponema_vincentii",0.438478747203579,0.658620525469537,0.438478747203579,0.651394422310757,0.548549636336558,0.799341970458539
"Bacteroidetes_oral_taxon_274",0.438478747203579,0.675090330199778,0.438478747203579,0.651394422310757,0.556784538701679,0.78751961795856
"Stenotrophomonas_maltophilia",0.438478747203579,0.75490418220942,0.438478747203579,0.617529880478088,0.5966914647065,0.734850040831836
"Abiotrophia_defectiva",0.438478747203579,0.744684750618987,0.438478747203579,0.617529880478088,0.591581748911283,0.74119721916799
"Paludibacter_propionicigenes",0.438478747203579,0.782572349693948,0.438478747203579,0.617529880478088,0.610525548448764,0.718198850674924
"Atopobium_rimae",0.438478747203579,0.782572349693948,0.438478747203579,0.617529880478088,0.610525548448764,0.718198850674924
"Actinomyces_sp_oral_taxon_170",0.438478747203579,0.705935248087052,0.438478747203579,0.617529880478088,0.572206997645316,0.766293926862062
"Eubacterium_saphenum",0.438478747203579,0.418283492651145,0.418283492651145,0.605577689243028,0.428381119927362,0.976428402638451
"Eubacterium_infirmum",0.68903803131991,0.409677905907998,0.409677905907998,0.601593625498008,0.549357968613954,0.745739443703032
"Veillonella_dispar",0.785234899328859,0.389664974054212,0.389664974054212,0.597609561752988,0.587449936691536,0.663316054213521
"Olsenella_uli",0.438478747203579,0.389325939825246,0.389325939825246,0.593625498007968,0.413902343514413,0.940622699836656
"Porphyromonas_gingivalis",0.438478747203579,0.388573480666818,0.388573480666818,0.589641434262948,0.413526113935198,0.939658869349443
"Rothia_mucilaginosa",0.825503355704698,0.387745866762972,0.387745866762972,0.585657370517928,0.606624611233835,0.639185848352447
"Prevotella_oralis",0.438478747203579,0.364338421010916,0.364338421010916,0.581673306772908,0.401408584107248,0.907649799819857
"Prevotella_oris",0.825503355704698,0.35985812056368,0.35985812056368,0.577689243027888,0.592680738134189,0.607170264545032
"Peptococcus_niger",0.68903803131991,0.35106850299391,0.35106850299391,0.571713147410359,0.52005326715691,0.675062585248571
"Johnsonella_ignava",0.438478747203579,0.35106850299391,0.35106850299391,0.571713147410359,0.394773625098745,0.889290673626175
"Actinomyces_graevenitzii",0.438478747203579,0.350362233059771,0.350362233059771,0.565737051792829,0.394420490131675,0.88829622655457
"Selenomonas_dianae",0.592841163310962,0.345291331307672,0.345291331307673,0.561752988047809,0.469066247309317,0.736124872101438
"Peptostreptococcus_stomatis",0.749440715883669,0.340783630108277,0.340783630108277,0.557768924302789,0.545112172995973,0.62516239223811
"Prevotella_nigrescens",0.825503355704698,0.333820054876199,0.333820054876199,0.553784860557769,0.579661705290448,0.575887714902493
"Selenomonas_flueggei",0.438478747203579,0.325080257656976,0.325080257656976,0.543824701195219,0.381779502430278,0.85148693313189
"Leptotrichia_shahii",0.438478747203579,0.325080257656976,0.325080257656976,0.543824701195219,0.381779502430278,0.85148693313189
"Veillonella_caviae",0.438478747203579,0.325080257656976,0.325080257656976,0.543824701195219,0.381779502430278,0.85148693313189
"Actinomyces_hongkongensis",0.438478747203579,0.325080257656976,0.325080257656976,0.543824701195219,0.381779502430278,0.85148693313189
"Megasphaera_micronuciformis",0.749440715883669,0.318099690407921,0.318099690407921,0.533864541832669,0.533770203145795,0.595948759472126
"Prevotella_micans",0.438478747203579,0.299593807475036,0.299593807475036,0.529880478087649,0.369036277339308,0.811827524478241
"Porphyromonas_endodontalis",0.749440715883669,0.288412855551129,0.288412855551129,0.525896414342629,0.518926785717399,0.555787181331193
"Prevotella_maculosa",0.876957494407159,0.272392201863518,0.272392201863518,0.52191235059761,0.574674848135339,0.473993603073731
"Schwartzia_succinivorans",0.438478747203579,0.255385038536896,0.255385038536896,0.51792828685259,0.346931892870238,0.73612442034096
"Eubacterium_sulci",0.438478747203579,0.247866781650205,0.247866781650205,0.51394422310757,0.343172764426892,0.722279875747567
"Treponema_socranskii",0.914988814317673,0.243407665679749,0.243407665679749,0.50996015936255,0.579198239998711,0.420249318575779
"Anaeroglobus_geminatus",0.438478747203579,0.22045707125021,0.22045707125021,0.50398406374502,0.329467909226895,0.669130634809072
"Alloprevotella_tannerae",0.438478747203579,0.22045707125021,0.22045707125021,0.50398406374502,0.329467909226895,0.669130634809072
"Catonella_morbi",0.825503355704698,0.219797119658033,0.219797119658033,0.49800796812749,0.522650237681365,0.420543422371947
"Propionibacterium_acidifaciens",0.438478747203579,0.218901420621354,0.218901420621354,0.49203187250996,0.328690083912467,0.665981212501835
"Actinomyces_sp_oral_taxon_448",0.438478747203579,0.218901420621354,0.218901420621354,0.49203187250996,0.328690083912467,0.665981212501835
"Dialister_invisus",0.876957494407159,0.218613378229896,0.218613378229896,0.48605577689243,0.547785436318527,0.399085780189994
"Streptococcus_mutans",0.592841163310962,0.207781509558839,0.207781509558839,0.48207171314741,0.4003113364349,0.519049776130006
"Tannerella_forsythia",0.914988814317673,0.204310749442794,0.204310749442794,0.47808764940239,0.559649781880234,0.365068934283114
"Filifactor_alocis",0.592841163310962,0.185877258906943,0.185877258906943,0.474103585657371,0.389359211108952,0.477392735560402
"Slackia_exigua",0.438478747203579,0.174566726471303,0.174566726471303,0.470119521912351,0.306522736837441,0.569506615634459
"Treponema_denticola",0.592841163310962,0.169650970670166,0.169650970670166,0.466135458167331,0.381246066990564,0.444990743142185
"Parvimonas_micra",0.785234899328859,0.168192670316586,0.168192670316586,0.460159362549801,0.476713784822723,0.352816880214892
"Eubacterium_brachy",0.592841163310962,0.168192670316586,0.168192670316586,0.460159362549801,0.380516916813774,0.442011019444111
"Dialister_pneumosintes",0.68903803131991,0.157346495136101,0.157346495136101,0.454183266932271,0.423192263228006,0.371808534342998
"Eubacterium_nodatum",0.438478747203579,0.14981715575958,0.14981715575958,0.450199203187251,0.29414795148158,0.509325851174462
"Olsenella_profusa",0.592841163310962,0.134397006387366,0.134397006387366,0.446215139442231,0.363619084849164,0.369609330167906
"Streptococcus_infantis",0.592841163310962,0.133476833854714,0.133476833854714,0.442231075697211,0.363158998582838,0.367543787640079
"Selenomonas_sputigena",0.955257270693512,0.0927379623630431,0.0927379623630431,0.438247011952191,0.523997616528278,0.176981649224808
