"","species","ClusterID"
"204","Finegoldia_magna",6
"205","Streptococcus_sobrinus",17
"206","Actinomyces_catuli",17
"207","Streptococcus_sinensis",16
"208","Neisseria_canis",16
"209","Centipeda_periodontii",3
"210","Actinomyces_naeslundii",1
"211","Actinomyces_turicensis",1
"212","Capnocytophaga_gingivalis",14
"213","Neisseria_meningitidis",14
"214","Kingella_denitrificans",14
"215","Prevotella_loescheii",3
"216","Bergeriella_denitrificans",2
"217","Veillonella_tobetsuensis",16
"218","Prevotella_oulorum",3
"219","Atopobium_rimae",3
"220","Lactobacillus_salivarius",3
"221","Actinomyces_israelii",3
"222","Treponema_maltophilum",3
"223","Selenomonas_dianae",3
"224","Treponema_vincentii",3
"225","Haemophilus_haemolyticus",5
"226","Lactobacillus_iners",3
"227","Johnsonella_ignava",3
"228","Stomatobaculum_longum",2
"229","Veillonella_caviae",1
"230","Actinobaculum_schaalii",2
"231","Dialister_succinatiphilus",5
"232","Neisseria_gonorrhoeae",1
"233","Prevotella_jejuni",7
"234","Vagococcus_lutrae",2
"235","Anaerococcus_octavius",9
"236","Actinobacillus_porcinus",10
"237","Streptococcus_massiliensis",10
"238","Bifidobacterium_longum",2
"239","Necropsobacter_rosorum",1
"240","Enterococcus_faecium",6
"241","Streptococcus_troglodytae",12
"242","Neisseria_bacilliformis",12
