"","Node1","Node2","Weight"
"14727","Prevotella_denticola","Fusobacterium_nucleatum",1
"14730","Dialister_invisus","Fusobacterium_nucleatum",1
"14769","Filifactor_alocis","Fusobacterium_nucleatum",1
"14773","Leptotrichia_hofstadii","Fusobacterium_nucleatum",1
"14779","Tannerella_forsythia","Fusobacterium_nucleatum",1
"14793","Prevotella_pleuritidis","Fusobacterium_nucleatum",1
"14810","Treponema_lecithinolyticum","Fusobacterium_nucleatum",1
"14813","Treponema_socranskii","Fusobacterium_nucleatum",1
"14814","Dialister_pneumosintes","Fusobacterium_nucleatum",1
"14838","Prevotella_maculosa","Fusobacterium_nucleatum",1
"14849","Treponema_medium","Fusobacterium_nucleatum",1
"14850","Selenomonas_infelix","Fusobacterium_nucleatum",1
"14869","Campylobacter_gracilis","Fusobacterium_nucleatum",1
"14872","Campylobacter_rectus","Fusobacterium_nucleatum",1
"14873","Streptococcus_constellatus","Fusobacterium_nucleatum",1
"14874","Prevotella_nigrescens","Fusobacterium_nucleatum",1
"14892","Capnocytophaga_leadbetteri","Prevotella_saccharolytica",1
"14986","Dialister_pneumosintes","Prevotella_saccharolytica",1
"14996","Capnocytophaga_ochracea","Prevotella_saccharolytica",1
"15010","Prevotella_maculosa","Prevotella_saccharolytica",1
"15021","Treponema_medium","Prevotella_saccharolytica",1
"15036","Abiotrophia_defectiva","Prevotella_saccharolytica",1
"15047","Corynebacterium_matruchotii","Prevotella_saccharolytica",1
"15051","Fusobacterium_nucleatum","Prevotella_saccharolytica",1
"15070","Eubacterium_yurii","Catonella_morbi",1
"15071","Prevotella_shahii","Catonella_morbi",1
"15094","Peptococcus_niger","Catonella_morbi",1
"15122","Fusobacterium_periodonticum","Catonella_morbi",1
"15414","Capnocytophaga_leadbetteri","Actinomyces_massiliensis",1
"15467","Leptotrichia_hofstadii","Actinomyces_massiliensis",1
"15569","Corynebacterium_matruchotii","Actinomyces_massiliensis",1
"15617","Rothia_dentocariosa","Streptococcus_salivarius",1
"15670","Streptococcus_parasanguinis","Streptococcus_salivarius",1
"16116","Veillonella_dispar","Alloscardovia_omnicolens",1
"16930","Streptococcus_parasanguinis","Streptococcus_thermophilus",1
"17014","Streptococcus_salivarius","Streptococcus_thermophilus",1
"17263","Haemophilus_parainfluenzae","Neisseria_flavescens",1
"17772","Veillonella_dispar","Leptotrichia_wadei",1
