"","Node1","Node2","Weight"
"8512","Treponema_socranskii","Peptostreptococcus_stomatis",1
"9008","Streptococcus_oralis","Actinomyces_oricola",1
"9191","Prevotella_baroniae","Leptotrichia_shahii",1
"9203","Prevotella_scopos","Leptotrichia_shahii",1
"9211","Lachnoanaerobaculum_orale","Leptotrichia_shahii",1
"9245","Selenomonas_noxia","Leptotrichia_shahii",1
"9270","Capnocytophaga_granulosa","Leptotrichia_shahii",1
"9379","Actinomyces_gerencseriae","Capnocytophaga_ochracea",1
"9406","Capnocytophaga_granulosa","Capnocytophaga_ochracea",1
"9446","Selenomonas_flueggei","Capnocytophaga_ochracea",1
"9453","Leptotrichia_shahii","Capnocytophaga_ochracea",1
"9456","Aggregatibacter_actinomycetemcomitans","Prevotella_ruminicola",1
"9685","Gemella_haemolysans","Gemella_sanguinis",1
"9688","Streptococcus_oralis","Gemella_sanguinis",1
"9886","Eubacterium_brachy","Prevotella_intermedia",1
"9915","Lactobacillus_johnsonii","Prevotella_intermedia",1
"10307","Prevotella_baroniae","Selenomonas_sputigena",1
"10311","Treponema_denticola","Selenomonas_sputigena",1
"10317","Prevotella_denticola","Selenomonas_sputigena",1
"10324","Prevotella_enoeca","Selenomonas_sputigena",1
"10333","Prevotella_salivae","Selenomonas_sputigena",1
"10336","Eubacterium_nodatum","Selenomonas_sputigena",1
"10340","Olsenella_uli","Selenomonas_sputigena",1
"10342","Prevotella_veroralis","Selenomonas_sputigena",1
"10347","Prevotella_dentalis","Selenomonas_sputigena",1
"10353","Schwartzia_succinivorans","Selenomonas_sputigena",1
"10356","Treponema_parvum","Selenomonas_sputigena",1
"10361","Selenomonas_noxia","Selenomonas_sputigena",1
"10362","Bifidobacterium_dentium","Selenomonas_sputigena",1
"10364","Porphyromonas_gingivalis","Selenomonas_sputigena",1
"10367","Bacteroides_acidifaciens","Selenomonas_sputigena",1
"10374","Lachnoanaerobaculum_saburreum","Selenomonas_sputigena",1
"10384","Tannerella_forsythia","Selenomonas_sputigena",1
"10399","Howardella_ureilytica","Selenomonas_sputigena",1
"10404","Selenomonas_ruminantium","Selenomonas_sputigena",1
"10407","Prevotella_oralis","Selenomonas_sputigena",1
"10409","Alloprevotella_rava","Selenomonas_sputigena",1
"10415","Treponema_amylovorum","Selenomonas_sputigena",1
"10420","Treponema_lecithinolyticum","Selenomonas_sputigena",1
"10423","Treponema_socranskii","Selenomonas_sputigena",1
