"","ChenC_2018","JesusV_2021","ZhengH_2015","ZhangX_2015","XiaoC_2016","HavsedK_2021","PangL_2021","GalimanasV_2014","JulianM_2017","NajmanovaL_2021","ProctorD_2018","SantosA_2021"
"Capnocytophaga_sputigena",2,NA,-1,3,-1,1,-1,1,-1,2,3,1
"Propionibacterium_acnes",NA,NA,1,-1,-1,1,1,-1,-1,3,1,-1
"Escherichia_coli",NA,NA,NA,-1,-1,1,-1,NA,-1,1,3,2
"Lactobacillus_vaginalis",1,NA,1,-1,-1,-1,-3,NA,-1,NA,-3,-1
"Treponema_medium",-3,NA,1,3,2,-2,-1,-1,3,-3,3,1
"Selenomonas_infelix",-3,NA,-1,3,1,1,-1,-1,2,1,3,-1
"Leptotrichia_goodfellowii",3,NA,-2,3,-1,1,3,1,3,1,3,-1
"Prevotella_dentasini",1,NA,NA,NA,NA,1,NA,NA,2,NA,-2,1
"Selenomonas_bovis",-2,NA,-1,NA,2,-1,NA,-1,3,-1,-3,1
"Lactobacillus_fermentum",-1,NA,-1,-1,-1,1,-3,-1,-1,NA,-3,1
"Neisseria_elongata",-1,NA,1,3,-1,1,2,1,-3,3,3,1
"Oribacterium_sinus",3,NA,-1,2,2,-1,1,-1,-1,1,-3,1
"Solobacterium_moorei",1,NA,-1,-1,-1,-1,3,1,-1,1,-3,-1
"Eggerthia_catenaformis",-3,NA,-1,-3,-1,1,NA,-1,-1,NA,3,-1
"Granulicatella_elegans",-1,NA,-1,-1,1,-2,1,1,-1,3,3,1
"Neisseria_subflava",NA,NA,NA,-1,NA,-1,2,NA,NA,NA,3,1
"Campylobacter_concisus",3,NA,1,2,-1,1,-2,2,1,3,-3,-1
"Prevotella_melaninogenica",-1,NA,1,1,1,-3,1,1,-1,3,3,1
"Megasphaera_micronuciformis",3,NA,-1,-2,1,-1,-3,1,1,-1,-3,-2
"Cryptobacterium_curtum",1,NA,1,3,1,-3,-3,-1,-1,-1,3,1
"Sediminibacterium_salmoneum",2,NA,2,NA,-1,1,NA,-1,-1,NA,1,NA
"Abiotrophia_defectiva",-2,NA,-1,-1,1,-3,-1,3,-2,3,3,1
"Gemella_morbillorum",NA,NA,-1,3,1,1,3,1,-1,NA,3,1
"Lactococcus_lactis",-1,NA,1,-3,1,-1,NA,1,-1,NA,-3,1
"Haemophilus_sputorum",NA,NA,-1,3,-1,1,-1,1,NA,3,3,1
"Veillonella_atypica",NA,NA,1,-1,1,-1,3,-1,-1,1,3,-1
"Actinomyces_timonensis",1,NA,-1,NA,1,-1,NA,-1,3,1,-1,2
"Campylobacter_gracilis",3,NA,1,1,1,-1,-1,1,3,1,-3,-1
"Streptococcus_australis",3,NA,-1,-2,1,1,2,NA,-1,NA,-3,-1
"Phocaeicola_abscessus",-3,NA,1,NA,-1,-2,NA,-3,1,-3,-3,-1
"Campylobacter_rectus",-1,NA,-1,3,1,-1,-1,1,3,-2,1,-3
"Actinomyces_denticolens",3,NA,-1,-1,-1,1,NA,-1,-3,1,-3,-1
"Streptococcus_constellatus",-3,NA,-1,NA,1,-3,NA,-3,-1,-1,-3,-1
"Prevotella_nigrescens",-1,NA,1,1,-1,-1,-1,1,3,-3,-3,-1
"Corynebacterium_matruchotii",3,NA,1,-1,-1,3,1,1,2,1,-3,1
"Eikenella_corrodens",-1,NA,-1,3,-1,3,3,1,1,-1,3,1
"Parvimonas_micra",-1,NA,1,-1,1,-1,-1,-1,-1,-3,-3,-1
"Scardovia_wiggsiae",3,NA,1,-2,1,-1,-3,1,1,1,-3,-1
"Fusobacterium_nucleatum",1,NA,-1,3,-1,-1,3,-1,1,-3,-3,-1
"Prevotella_saccharolytica",1,NA,-1,3,-1,-1,1,1,1,1,3,-2
"Catonella_morbi",-3,NA,-3,3,1,-1,1,1,1,-3,1,1
"Micrococcus_luteus",3,NA,1,NA,-1,NA,NA,NA,-1,1,3,1
"Morococcus_cerebrosus",NA,NA,NA,-2,NA,3,-2,1,-1,NA,2,-1
"Actinomyces_massiliensis",3,NA,-1,1,-1,1,3,-1,3,1,-3,1
"Streptococcus_salivarius",NA,NA,1,-3,-2,-1,1,-1,NA,NA,3,1
"Prevotella_buccae",-3,NA,1,-1,-1,-1,-1,-1,-1,-3,3,-1
"Fusobacterium_russii",-1,NA,-1,NA,NA,-3,NA,1,-1,-1,2,1
"Neisseria_meningitidis",3,NA,1,-1,-1,1,NA,1,-1,-3,-1,1
"Staphylococcus_epidermidis",NA,NA,1,NA,1,1,1,1,-1,NA,-3,-1
"Neisseria_lactamica",NA,NA,NA,-1,NA,1,NA,1,-1,NA,-3,-1
"Pseudoramibacter_alactolyticus",-3,NA,-1,3,1,-3,-2,1,-1,-3,-3,-1
"Mogibacterium_timidum",-3,NA,-1,-1,1,-1,1,NA,-1,-3,-3,-1
"Streptococcus_mutans",3,NA,-1,1,-1,-2,-3,1,-3,2,-3,-1
"Streptococcus_thermophilus",3,NA,-1,-1,-1,-1,NA,1,-1,3,-3,-1
"Propionibacterium_propionicum",1,NA,1,1,1,1,2,1,1,-1,3,-1
"Treponema_pectinovorum",-3,NA,1,NA,1,-3,NA,-1,-2,-1,-1,1
"Neisseria_flavescens",3,NA,-1,3,1,1,1,1,-2,1,3,1
"Streptococcus_anginosus",-1,NA,-1,NA,-1,-1,NA,-1,-1,1,3,1
"Leptotrichia_trevisanii",1,NA,-1,NA,-1,-2,NA,1,1,1,1,-1
"Treponema_putidum",-3,NA,NA,3,NA,-1,NA,NA,-2,-3,3,-1
"Leptotrichia_wadei",1,NA,1,-1,1,1,1,-1,1,3,3,1
"Streptococcus_mitis",1,NA,1,-3,1,1,1,-1,-1,3,3,-1
"Dialister_micraerophilus",2,NA,NA,NA,NA,-1,NA,NA,1,-1,3,-1
"Prevotella_oris",3,NA,1,-1,1,-1,-1,1,1,-3,-3,1
"Porphyromonas_catoniae",3,NA,1,3,-1,-1,3,1,-3,3,3,1
"Fusobacterium_canifelinum",NA,NA,-1,NA,1,1,NA,-1,NA,NA,1,-1
"Aggregatibacter_aphrophilus",-3,NA,-1,-1,-1,1,-1,1,-2,3,3,1
"Lachnoanaerobaculum_umeaense",3,NA,-1,1,3,-1,1,-1,1,1,3,1
"Eubacterium_infirmum",-1,NA,-2,2,1,-3,NA,-1,-1,-1,3,1
"Neisseria_mucosa",1,NA,1,-2,1,-1,1,1,-1,1,3,-1
"Neisseria_dentiae",2,NA,NA,NA,NA,1,NA,NA,-1,2,3,-1
"Haemophilus_pittmaniae",NA,NA,NA,NA,NA,1,NA,-1,NA,NA,1,1
"Prevotella_micans",-3,NA,-2,1,1,1,-1,1,-3,-1,3,-1
"Treponema_succinifaciens",-3,NA,NA,NA,NA,-1,NA,NA,1,-1,3,1
"Kingella_denitrificans",1,NA,-2,3,2,-1,1,3,-1,-1,3,1
"Veillonella_denticariosi",NA,NA,NA,-1,-1,-1,1,1,1,NA,1,-2
"Corynebacterium_durum",3,NA,1,-1,-1,3,1,-1,2,3,3,1
"Neisseria_bacilliformis",-1,NA,-1,1,-2,-1,-3,-1,1,3,-3,2
"Kingella_oralis",3,NA,-1,-1,-1,1,1,-1,-1,3,-3,1
"Cardiobacterium_hominis",3,NA,1,3,1,1,3,-1,3,3,3,1
"Fretibacterium_fastidiosum",-3,NA,1,2,1,-3,-1,-3,1,-3,-3,1
"Streptococcus_peroris",-1,NA,NA,-1,NA,1,NA,NA,1,NA,-3,-1
"Olsenella_profusa",1,NA,1,-1,1,-1,-3,-2,-1,NA,-3,-1
"Agrobacterium_tumefaciens",3,NA,1,NA,1,NA,NA,NA,3,NA,1,-1
"Selenomonas_artemidis",-1,NA,-1,-1,-2,1,-1,3,2,1,3,1
"Streptococcus_infantis",NA,NA,1,-3,1,-1,1,-1,-1,1,1,-3
"Prevotella_histicola",1,NA,-1,-3,-1,-1,-3,1,-1,1,-3,1
"Aggregatibacter_segnis",3,NA,-1,3,1,-1,1,1,-1,3,3,1
"Rothia_terrae",3,NA,NA,NA,NA,-1,NA,NA,-1,NA,-1,1
"Streptococcus_suis",NA,NA,NA,NA,-1,-1,NA,NA,1,-1,-3,-1
"Ruminofilibacter_xylanolyticum",1,NA,NA,NA,NA,-1,NA,NA,1,-3,-1,NA
"Finegoldia_magna",3,NA,-1,NA,NA,NA,NA,NA,-1,1,3,-1
"Prevotella_multiformis",-2,NA,1,1,1,1,-1,1,2,-1,1,1
"Actinomyces_catuli",-1,NA,NA,NA,NA,1,NA,NA,-1,NA,3,NA
"Neisseria_canis",-1,NA,NA,1,-1,-3,-1,NA,1,1,3,-1
"Centipeda_periodontii",3,NA,-1,3,-1,1,-1,1,1,NA,3,-1
"Actinomyces_israelii",1,NA,-2,NA,1,-2,NA,-1,-1,-3,-3,-1
"Actinomyces_naeslundii",3,NA,-1,1,1,1,1,1,-1,1,3,-1
"Actinomyces_turicensis",-1,NA,NA,NA,NA,-1,NA,-1,-1,NA,-3,-1
"Streptococcus_lactarius",NA,NA,NA,NA,NA,1,NA,NA,-1,NA,3,-1
"Capnocytophaga_gingivalis",3,NA,-3,-3,-1,1,1,1,-1,1,3,1
"Prevotella_loescheii",2,NA,-2,3,1,-1,1,1,3,1,3,1
"Bergeriella_denitrificans",-1,NA,-3,NA,-1,-1,NA,NA,-1,2,3,-1
"Paludibacter_propionicigenes",3,NA,-1,NA,NA,1,NA,NA,1,1,3,-1
"Veillonella_tobetsuensis",-1,NA,-1,1,-1,-1,-1,NA,1,1,3,-1
"Prevotella_oulorum",3,NA,1,-1,1,-1,-1,1,3,1,3,-1
"Atopobium_rimae",3,NA,1,1,1,1,-1,1,-1,-1,3,-1
"Selenomonas_dianae",-3,NA,1,NA,-1,-1,NA,-2,3,-3,3,1
"Streptococcus_pseudopneumoniae",NA,NA,NA,-1,NA,1,1,NA,NA,NA,3,1
"Treponema_maltophilum",-3,NA,-1,3,1,-1,1,-1,3,-3,3,-1
"Treponema_vincentii",-2,NA,1,3,1,-1,-1,-1,3,-3,3,1
"Haemophilus_haemolyticus",1,NA,NA,1,-1,1,-1,NA,-1,3,3,1
"Lactobacillus_iners",-3,NA,NA,NA,NA,NA,NA,NA,-1,NA,3,-1
"Johnsonella_ignava",-1,NA,1,1,1,-2,2,1,2,-3,3,-1
"Moryella_indoligenes",-2,NA,NA,NA,NA,1,NA,-1,1,NA,1,-2
"Pseudomonas_putida",-1,NA,NA,NA,-1,NA,NA,NA,-1,1,3,1
"Stomatobaculum_longum",1,NA,-1,-1,3,-2,-1,1,1,-2,-3,-1
"Veillonella_caviae",NA,NA,NA,NA,NA,1,NA,NA,-1,1,-3,-1
"Actinobaculum_schaalii",NA,NA,1,NA,-1,-1,NA,1,NA,NA,3,-1
