,HealthAssociationScore,HealthAssociationScore_16s_exposure,HealthAssociationScore_16s,HealthAssociationScore_WGS
Neisseria_subflava,0.953080260741458,0.468601182130335,0.941159176214136,0.90599319759082
Odoribacter_denticanis,0.778687715686868,0.468601182130335,0.769353957542911,NA
Odoribacter_splanchnicus,0.181945672135779,0.468601182130335,0.265225714651401,NA
Olsenella_profusa,0.852407014994652,0.69977303180252,0.903081150394103,0.662428244658055
Olsenella_uli,0.510680208270267,0.468601182130335,0.387048605177412,0.662428244658055
Oribacterium_parvum,0.649678210328752,NA,NA,0.893475764715893
Oribacterium_sinus,0.627201771911768,0.83462651293679,0.575977742701998,0.501262811266263
Orientia_tsutsugamushi,0.956406631551331,0.69977303180252,0.947744309260498,NA
Ornatilinea_apprima,0.563333938770156,0.468601182130335,0.627381165772426,NA
Oscillibacter_valericigenes,0.31585195051563,0.468601182130335,0.240410926997293,NA
Oscillospira_guilliermondii,0.691171116627313,0.468601182130335,0.708892900369678,NA
Ottowia_pentelensis,0.621082420132792,NA,0.636626632043072,NA
Paludibacter_propionicigenes,0.647011362031039,0.468601182130335,0.445553280523528,NA
Parabacteroides_distasonis,0.175502714375088,0.468601182130335,0.163467468608604,NA
Parabacteroides_goldsteinii,0.127991160622389,0.468601182130335,0.143783920302765,NA
Parabacteroides_merdae,0.530923896591391,0.217712898103995,0.722215618346341,NA
Paraprevotella_clara,0.463954006982705,0.468601182130335,0.586820576497274,NA
Parascardovia_denticolens,0.327370083348469,0.468601182130335,0.290576690218888,0.662428244658055
Parasutterella_excrementihominis,0.159150572137797,0.468601182130335,0.142255492675187,NA
Parvimonas_micra,0.37955671933967,0.738249257305579,0.580898926145666,0.0535162269261057
Pasteurella_pneumotropica,0.621082420132792,0.468601182130335,0.636626632043072,NA
Peptococcus_niger,0.658801638715667,0.468601182130335,0.631072092982155,NA
Peptoniphilus_lacrimalis,0.449066719137858,0.203683728692444,0.750264077577932,0.290919604925621
Peptostreptococcus_anaerobius,0.64339771144881,0.468601182130335,0.766169736301792,NA
Peptostreptococcus_russellii,0.432126495933483,NA,0.445553280523528,NA
Peptostreptococcus_stomatis,0.241425702811245,0.738249257305579,0.062857579131549,0.248952802022597
Phascolarctobacterium_faecium,0.181343968840185,0.468601182130335,0.105093423392525,NA
Phascolarctobacterium_succinatutens,0.402218017799843,0.468601182130335,0.403798349154821,NA
Phocaeicola_abscessus,0.044688906379286,0.468601182130335,0.0187143866296016,NA
Planobacterium_taklimakanense,0.552100260337834,0.116284519132874,0.703331622590779,NA
Porphyromonas_asaccharolytica,0.432126495933483,0.468601182130335,0.445553280523528,0.501262811266263
Porphyromonas_catoniae,0.878976004520595,0.468601182130335,0.858269908061867,0.501262811266263
