"","HealthAssociationScore","species","CoreAssociationScore","quadrant"
"Filifactor_alocis",0.00696078477697676,"Filifactor_alocis",0.591639871382637,"Q3"
"Rothia_mucilaginosa",0.454421531861824,"Rothia_mucilaginosa",0.591639871382637,"Q3"
"Lachnoanaerobaculum_saburreum",0.332491941636148,"Lachnoanaerobaculum_saburreum",0.736334405144695,"Q2"
"Streptococcus_gordonii",0.648945891163032,"Streptococcus_gordonii",0.736334405144695,"Q2"
"Leptotrichia_hofstadii",0.619838424262314,"Leptotrichia_hofstadii",0.736334405144695,"Q2"
"Streptococcus_sanguinis",0.872246478473774,"Streptococcus_sanguinis",0.990353697749196,"Q1"
"Fusobacterium_periodonticum",0.885226544737527,"Fusobacterium_periodonticum",0.382636655948553,"Q4"
"Campylobacter_showae",0.802612537220494,"Campylobacter_showae",0.382636655948553,"Q4"
"Tannerella_forsythia",0.0366151825560846,"Tannerella_forsythia",0.736334405144695,"Q2"
"Capnocytophaga_granulosa",0.938261960578774,"Capnocytophaga_granulosa",0.922829581993569,"Q1"
"Neisseria_oralis",0.629555801898234,"Neisseria_oralis",0,"Q3"
"Gemella_haemolysans",0.629555801898234,"Gemella_haemolysans",0.382636655948553,"Q3"
"Slackia_exigua",0.199827954671379,"Slackia_exigua",0,"Q3"
"Actinomyces_viscosus",0.864600826710882,"Actinomyces_viscosus",0.382636655948553,"Q4"
"Streptococcus_oralis",0.872246478473774,"Streptococcus_oralis",0.736334405144695,"Q1"
"Cardiobacterium_valvarum",0.886618792570631,"Cardiobacterium_valvarum",0.591639871382637,"Q4"
"Prevotella_pleuritidis",0.37587016844828,"Prevotella_pleuritidis",0.382636655948553,"Q3"
"Propionibacterium_acidifaciens",0.313454087487735,"Propionibacterium_acidifaciens",0,"Q3"
"Streptococcus_parasanguinis",0.648945891163032,"Streptococcus_parasanguinis",0,"Q3"
"Prevotella_oralis",0.199827954671379,"Prevotella_oralis",0,"Q3"
"Actinomyces_graevenitzii",0.481347297440385,"Actinomyces_graevenitzii",0,"Q3"
"Alloprevotella_rava",0.334672126423359,"Alloprevotella_rava",0,"Q3"
"Atopobium_parvulum",0.311226551984862,"Atopobium_parvulum",0.382636655948553,"Q3"
"Shuttleworthia_satelles",0.311226551984862,"Shuttleworthia_satelles",0,"Q3"
"Treponema_lecithinolyticum",0.199827954671379,"Treponema_lecithinolyticum",0.382636655948553,"Q3"
"Neisseria_macacae",0.177927472836462,"Neisseria_macacae",0,"Q3"
"Streptococcus_intermedius",0.648811388372762,"Streptococcus_intermedius",0,"Q3"
"Treponema_socranskii",0.199827954671379,"Treponema_socranskii",0.842443729903537,"Q2"
"Dialister_pneumosintes",0.199827954671379,"Dialister_pneumosintes",0,"Q3"
"Selenomonas_flueggei",0.481347297440385,"Selenomonas_flueggei",0.591639871382637,"Q3"
"Peptostreptococcus_stomatis",0.199827954671379,"Peptostreptococcus_stomatis",0.591639871382637,"Q3"
"Leptotrichia_shahii",0.759441126642844,"Leptotrichia_shahii",0.382636655948553,"Q4"
"Capnocytophaga_ochracea",0.864600826710882,"Capnocytophaga_ochracea",0.967845659163987,"Q1"
"Gemella_sanguinis",0.311226551984862,"Gemella_sanguinis",0.382636655948553,"Q3"
"Prevotella_intermedia",0.183914853336907,"Prevotella_intermedia",0.382636655948553,"Q3"
"Prevotella_fusca",0.199827954671379,"Prevotella_fusca",0,"Q3"
"Selenomonas_sputigena",0.199827954671379,"Selenomonas_sputigena",0.842443729903537,"Q2"
"Veillonella_rodentium",0.629555801898234,"Veillonella_rodentium",0,"Q3"
"Bulleidia_extructa",0.164891677909256,"Bulleidia_extructa",0.382636655948553,"Q3"
"Haemophilus_parahaemolyticus",0.454421531861824,"Haemophilus_parahaemolyticus",0,"Q3"
"Alloprevotella_tannerae",0.199827954671379,"Alloprevotella_tannerae",0.591639871382637,"Q3"
"Actinomyces_georgiae",0.481856314850257,"Actinomyces_georgiae",0.736334405144695,"Q2"
"Prevotella_maculosa",0.311226551984862,"Prevotella_maculosa",0.842443729903537,"Q2"
"Capnocytophaga_haemolytica",0.759441126642844,"Capnocytophaga_haemolytica",0,"Q4"
"Veillonella_parvula",0.872246478473774,"Veillonella_parvula",0.842443729903537,"Q1"
"Capnocytophaga_sputigena",1,"Capnocytophaga_sputigena",0.922829581993569,"Q1"
"Propionibacterium_acnes",0.864600826710882,"Propionibacterium_acnes",0,"Q4"
"Treponema_medium",0.199827954671379,"Treponema_medium",0.591639871382637,"Q3"
"Selenomonas_infelix",0.476296425672049,"Selenomonas_infelix",0.736334405144695,"Q2"
"Leptotrichia_goodfellowii",0.648811388372762,"Leptotrichia_goodfellowii",0.382636655948553,"Q3"
"Neisseria_elongata",0.981407015668314,"Neisseria_elongata",0.736334405144695,"Q1"
"Oribacterium_sinus",0.192104718218488,"Oribacterium_sinus",0.736334405144695,"Q2"
"Solobacterium_moorei",0.311226551984862,"Solobacterium_moorei",0.736334405144695,"Q2"
"Eggerthia_catenaformis",0.177927472836462,"Eggerthia_catenaformis",0,"Q3"
"Granulicatella_elegans",0.629555801898234,"Granulicatella_elegans",0,"Q3"
"Neisseria_subflava",0.311226551984862,"Neisseria_subflava",0,"Q3"
"Campylobacter_concisus",0.859614862782599,"Campylobacter_concisus",0.736334405144695,"Q1"
"Prevotella_melaninogenica",0.759194169443244,"Prevotella_melaninogenica",0.591639871382637,"Q4"
"Megasphaera_micronuciformis",0.311226551984862,"Megasphaera_micronuciformis",0,"Q3"
"Cryptobacterium_curtum",0.311226551984862,"Cryptobacterium_curtum",0,"Q3"
