"","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score","control_increased","control_depleted","score"
"Olsenella_uli",4,2,0.03999990000025,2,3,-0.013333288889037,4,2,0.03999990000025,1,1,0,2,2,0,2,2,0,1,1,0,2,1,0.0199999000005,3,2,0.013333288889037,2,3,-0.013333288889037
"Lactobacillus_johnsonii",1,2,-0.0199999000005,0,4,-0.159999600001,1,3,-0.0533331555561481,0,3,-0.119999600001333,1,4,-0.0899997750005625,0,3,-0.119999600001333,0,2,-0.079999600002,0,4,-0.159999600001,1,4,-0.0899997750005625,1,2,-0.0199999000005
"Prevotella_veroralis",3,2,0.013333288889037,3,1,0.0533331555561481,6,2,0.106666488889185,4,2,0.03999990000025,6,1,0.166666388889352,3,1,0.0533331555561481,2,2,0,5,2,0.071999856000288,5,1,0.127999744000512,4,1,0.0899997750005625
"Dialister_propionicifaciens",0,0,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,2,0,0.079999600002,2,0,0.079999600002,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,2,0,0.079999600002
"Rothia_dentocariosa",1,1,0,2,2,0,1,1,0,2,1,0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005,1,0,0.039999600004,2,1,0.0199999000005,2,2,0,0,2,-0.079999600002
"Mycoplasma_faucium",1,2,-0.0199999000005,3,1,0.0533331555561481,1,1,0,2,0,0.079999600002,2,2,0,2,2,0,1,2,-0.0199999000005,2,1,0.0199999000005,2,1,0.0199999000005,1,2,-0.0199999000005
"Mycoplasma_hyosynoviae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azospira_oryzae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alysiella_crassa",1,0,0.039999600004,2,0,0.079999600002,2,0,0.079999600002,0,0,0,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,1,0,0.039999600004,2,0,0.079999600002,2,0,0.079999600002
"Prevotella_dentalis",1,2,-0.0199999000005,1,1,0,1,2,-0.0199999000005,2,1,0.0199999000005,3,1,0.0533331555561481,2,1,0.0199999000005,1,0,0.039999600004,2,2,0,2,1,0.0199999000005,3,1,0.0533331555561481
"Acidithiobacillus_thiooxidans",0,0,0,2,0,0.079999600002,1,0,0.039999600004,0,0,0,2,0,0.079999600002,1,0,0.039999600004,0,0,0,2,0,0.079999600002,1,0,0.039999600004,1,0,0.039999600004
"Corynebacterium_jeikeium",1,0,0.039999600004,1,0,0.039999600004,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,-0.039999600004
"Peptococcus_niger",2,1,0.0199999000005,3,2,0.013333288889037,2,1,0.0199999000005,1,1,0,3,1,0.0533331555561481,3,1,0.0533331555561481,2,0,0.079999600002,3,1,0.0533331555561481,2,2,0,2,2,0
"Acinetobacter_baumannii",2,1,0.0199999000005,1,1,0,1,2,-0.0199999000005,0,1,-0.039999600004,2,1,0.0199999000005,1,1,0,2,1,0.0199999000005,1,2,-0.0199999000005,1,1,0,2,1,0.0199999000005
"Treponema_refringens",2,0,0.079999600002,3,0,0.119999600001333,2,0,0.079999600002,2,1,0.0199999000005,2,0,0.079999600002,3,1,0.0533331555561481,1,1,0,3,1,0.0533331555561481,2,1,0.0199999000005,2,1,0.0199999000005
"Treponema_pedis",2,0,0.079999600002,3,1,0.0533331555561481,2,1,0.0199999000005,3,1,0.0533331555561481,3,1,0.0533331555561481,3,0,0.119999600001333,0,1,-0.039999600004,2,0,0.079999600002,3,1,0.0533331555561481,3,0,0.119999600001333
"Campylobacter_curvus",2,1,0.0199999000005,3,1,0.0533331555561481,1,0,0.039999600004,1,1,0,2,0,0.079999600002,3,1,0.0533331555561481,3,0,0.119999600001333,3,0,0.119999600001333,2,1,0.0199999000005,2,1,0.0199999000005
"Prevotella_bivia",0,4,-0.159999600001,0,3,-0.119999600001333,0,2,-0.079999600002,0,4,-0.159999600001,0,1,-0.039999600004,0,4,-0.159999600001,0,2,-0.079999600002,0,3,-0.119999600001333,0,2,-0.079999600002,0,3,-0.119999600001333
"Mycoplasma_feliminutum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pneumoniae",0,2,-0.079999600002,0,1,-0.039999600004,0,1,-0.039999600004,0,1,-0.039999600004,0,3,-0.119999600001333,0,1,-0.039999600004,0,2,-0.079999600002,0,3,-0.119999600001333,0,3,-0.119999600001333,0,2,-0.079999600002
"Schwartzia_succinivorans",1,4,-0.0899997750005625,3,4,-0.0099999750000625,3,3,0,0,4,-0.159999600001,3,2,0.013333288889037,1,4,-0.0899997750005625,2,3,-0.013333288889037,2,2,0,2,4,-0.03999990000025,3,5,-0.031999936000128
