,Axis1,Axis2,Axis3,CS,HS,SS,sHACK,cluster,cx,cy,cluster_factor,High_sHACK,Module2
Haemophilus_parahaemolyticus,6.46389129777649,-14.4443520565026,1.97027476911632,0.591780821917808,0.531754354099816,0.787348686654532,0.835341365461847,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Alloprevotella_tannerae,19.1251414364141,-1.82340513690926,2.86466655477005,0.80958904109589,0.452441827611955,0.748461619141321,0.833333333333333,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_stercorea,-13.9523621351088,0.388909985780254,2.73816258805744,0.505479452054794,0.636316320558616,0.805539746161055,0.831325301204819,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Streptococcus_peroris,0.206184008686116,-5.69850021901545,-7.61730336431147,0.645205479452055,0.543676212387237,0.556782740521058,0.829317269076305,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Brachymonas_denitrificans,10.0588935494999,-7.83881393717288,4.29865036454725,0.591780821917808,0.525975056002906,0.797259212583038,0.827309236947791,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Prevotella_denticola,19.5869170316212,10.8201229009503,-1.90422855320143,0.821917808219178,0.456750216948195,0.729917211412483,0.825301204819277,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_nanceiensis,1.5564568583411,-20.5365702873664,-3.6803690849598,0.958904109589041,0.430132187039616,0.777970595648209,0.823293172690763,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Streptococcus_sanguinis,8.35861253065442,-5.16962305825672,1.89729992253769,0.947945205479452,0.903559564892737,0.366267883325681,0.821285140562249,2,6.72843344989611,-10.8417605202732,2,FALSE,TRUE
Megasphaera_micronuciformis,2.23652310112351,10.6249831108898,-24.837208829539,0.989041095890411,0.351840225222498,0.929408179264573,0.819277108433735,1,0.234670503340864,11.7573950781623,1,FALSE,FALSE
Catenibacterium_mitsuokai,-12.0720412429033,-0.962005493726863,0.436722043243721,0.505479452054794,0.755636919537446,0.61603073190134,0.817269076305221,5,-16.9737184673674,2.78799675236001,5,FALSE,FALSE
Campylobacter_rectus,13.5793393659735,-1.3297107037429,6.12873601550126,0.552054794520548,0.725004137151622,0.536747751029,0.815261044176707,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Treponema_lecithinolyticum,15.3685557036749,2.25891983238856,6.43211203982914,0.591780821917808,0.901161530544288,0.510796527626864,0.813253012048193,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Prevotella_enoeca,11.5178451387459,1.12076440188246,3.21380514092967,0.505479452054794,0.589867005711287,0.733409024020595,0.811244979919679,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Mogibacterium_diversum,-3.36267537234927,-1.92317555499694,-12.1165216664834,0.552054794520548,0.523223446550019,0.834319528497336,0.808232931726908,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Veillonella_infantium,-6.54253355817781,-5.19352086431974,-10.2631948799647,0.552054794520548,0.523223446550019,0.707241942537662,0.808232931726908,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Klebsiella_pneumoniae,-8.29882210052229,-1.23325399512405,-2.7959272466056,0.423287671232877,0.750967689854897,0.807689725546323,0.805220883534137,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Prevotella_sp_oral_taxon_306,-5.81742219867596,-3.56449413972026,-10.5304193009944,0.552054794520548,0.517299449052491,0.967567642092025,0.803212851405622,4,-3.60854994020313,-2.09522479612292,4,FALSE,FALSE
Campylobacter_gracilis,21.3332495201238,9.25678193658685,2.75073146481653,0.857534246575342,0.762024681641137,0.407490421258259,0.801204819277108,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
Treponema_socranskii,25.0517110373801,8.85517208651906,6.83672612545392,0.797260273972603,0.769056628524147,0.403096704046538,0.799196787148594,3,15.7200397767724,5.68151935062429,3,FALSE,FALSE
