"cluster"	"degree"	"betweenness"	"sHACK"	"CS"	"HS"	"SS"	"within_group_propensity"	"across_group_propensity"	"species"
"Azospira_oryzae"	4	2	0	0.162650602409639	0	0.432126495933483	0.214247147829985	0	0.00909090909090909	"Azospira_oryzae"
"Gemella_sanguinis"	2	17	311.523209885169	0.911646586345382	0.912328767123288	0.541950515630361	0.925502850590598	0.05	0.0099009900990099	"Gemella_sanguinis"
"Prevotella_intermedia"	3	43	243.143490063741	0.6285140562249	0.741095890410959	0.140135113317592	0.720737616996419	0.145833333333333	0	"Prevotella_intermedia"
"Porphyromonas_uenonis"	1	5	0	0.259036144578313	0	0.478739076910658	0.289511257862721	0	0.0165289256198347	"Porphyromonas_uenonis"
"Prevotella_fusca"	3	5	0.2625	0.540160642570281	0	0.922543742810438	0.635826066216945	0.0104166666666667	0	"Prevotella_fusca"
"Selenomonas_sputigena"	3	54	1060.70709537894	0.644578313253012	0.882191780821918	0.0893065730257714	0.94895437913113	0.322916666666667	0.0161290322580645	"Selenomonas_sputigena"
"Actinomyces_hyovaginalis"	4	1	0	0.652610441767068	0.423287671232877	0.351173639280741	0.522369660776203	0	0.00454545454545455	"Actinomyces_hyovaginalis"
"Bulleidia_extructa"	3	19	25.9942325345643	0.598393574297189	0.505479452054794	0.20745040463361	0.459357196250483	0.0729166666666667	0	"Bulleidia_extructa"
"Haemophilus_parahaemolyticus"	2	7	69.2777777777778	0.835341365461847	0.591780821917808	0.531754354099816	0.787348686654532	0.025	0	"Haemophilus_parahaemolyticus"
"Actinobacillus_minor"	4	1	0	0.397590361445783	0	0.432126495933483	0.46099703117192	0	0.00454545454545455	"Actinobacillus_minor"
"Alloprevotella_tannerae"	3	33	243.246461094403	0.833333333333333	0.80958904109589	0.452441827611955	0.748461619141321	0.15625	0	"Alloprevotella_tannerae"
"Actinomyces_georgiae"	3	15	29.5173034467045	0.753012048192771	0.671232876712329	0.771372827995399	0.36573732237012	0.03125	0	"Actinomyces_georgiae"
"Streptococcus_oligofermentans"	4	5	0	0.64859437751004	0.552054794520548	0.531190187887227	0.269699030412945	0	0.00454545454545455	"Streptococcus_oligofermentans"
"Actinomyces_lingnae"	4	25	333.390605305465	0.795180722891566	0.938356164383562	0.581682206211782	0.485116694556557	0.0806451612903226	0.0363636363636364	"Actinomyces_lingnae"
"Corynebacterium_argentoratense"	4	1	0	0.184738955823293	0	0.312309236947791	0.223851424289886	0.0161290322580645	0	"Corynebacterium_argentoratense"
"Lactobacillus_salivarius"	1	8	40.6493431857322	0.0160642570281124	0	0.0502365239853888	0.415415769534192	0.075	0.00826446280991736	"Lactobacillus_salivarius"
"Prevotella_maculosa"	3	31	227.699942116062	0.873493975903614	0.76986301369863	0.520026740126334	0.871203410901681	0.125	0	"Prevotella_maculosa"
"Sporanaerobacter_acetigenes"	4	2	0	0.526104417670683	0	0.621082420132792	0.864530014311152	0	0.00909090909090909	"Sporanaerobacter_acetigenes"
"Haemophilus_influenzae"	2	11	169.97033146592	0.72289156626506	0.741095890410959	0.411153256241045	0.491960823903474	0.05	0.00495049504950495	"Haemophilus_influenzae"
"Capnocytophaga_haemolytica"	2	5	0	0.863453815261044	0.505479452054794	0.974584468527376	0.752512447938277	0	0	"Capnocytophaga_haemolytica"
"Clostridium_aminobutyricum"	4	6	4.80023032523033	0.518072289156627	0	0.909718270065185	0.602030320043748	0	0.0136363636363636	"Clostridium_aminobutyricum"
"Porphyromonas_gulae"	2	5	0.0625	0.321285140562249	0	0.347889850860729	0.720439384481336	0	0.0099009900990099	"Porphyromonas_gulae"
"Veillonella_parvula"	4	13	98.0121589779703	0.855421686746988	0.878082191780822	0.454220298278541	0.822558704688098	0.0161290322580645	0.0363636363636364	"Veillonella_parvula"
"Actinomyces_cardiffensis"	3	25	155.232522873261	0.172690763052209	0	0.218332828802648	0.594944295587047	0.0729166666666667	0	"Actinomyces_cardiffensis"
"Capnocytophaga_sputigena"	2	18	194.794197005399	0.877510040160643	0.901369863013699	0.464688200036326	0.918607129825082	0.05	0.0148514851485149	"Capnocytophaga_sputigena"
"Simonsiella_muelleri"	2	1	0	0.588353413654618	0	0.869310508365119	0.830453410867604	0.0125	0	"Simonsiella_muelleri"
"Mobiluncus_mulieris"	4	10	42.4325779733654	0.57429718875502	0	0.728544227159896	0.757312929497302	0.0161290322580645	0.0136363636363636	"Mobiluncus_mulieris"
"Lactobacillus_vaginalis"	1	8	1.11136363636364	0.200803212851406	0	0.242684305059434	0.366219404047021	0.025	0.0206611570247934	"Lactobacillus_vaginalis"
"Mycoplasma_orale"	2	6	3.19285714285714	0.534136546184739	0	0.69674688704567	0.626256605323045	0.025	0.00495049504950495	"Mycoplasma_orale"
"Treponema_medium"	3	43	134.627994330631	0.666666666666667	0.83013698630137	0.38014288309015	0.437883780471918	0.125	0	"Treponema_medium"
"Selenomonas_infelix"	3	38	509.445429901145	0.740963855421687	0.76986301369863	0.301142459284374	0.801867886787957	0.114583333333333	0.032258064516129	"Selenomonas_infelix"
"Leptotrichia_goodfellowii"	2	12	39.698743748298	0.937751004016064	0.76986301369863	0.693390446206938	0.858580426644771	0.0125	0.0396039603960396	"Leptotrichia_goodfellowii"
"Selenomonas_bovis"	1	15	210.629637924106	0.508032128514056	0	0.586958083590644	0.605269215086643	0.05	0.0247933884297521	"Selenomonas_bovis"
"Lactobacillus_fermentum"	1	13	233.78634184443	0.00200803212851406	0	0.00612449799196787	0.198635959848403	0.15	0.00413223140495868	"Lactobacillus_fermentum"
"Lactobacillus_crispatus"	1	1	0	0.0441767068273092	0	0.112695102016105	0.489973173503459	0.025	0	"Lactobacillus_crispatus"
"Neisseria_elongata"	2	17	342.249787791664	0.967871485943775	0.80958904109589	0.915321486952836	0.821755441735963	0.0875	0.00495049504950495	"Neisseria_elongata"
"Oribacterium_sinus"	4	25	520.796621768853	0.941767068273092	0.916438356164384	0.627201771911768	0.959597185294522	0.0806451612903226	0.0227272727272727	"Oribacterium_sinus"
"Solobacterium_moorei"	2	13	79.2857475857476	0.869477911646586	0.932876712328767	0.429113539585478	0.976038406352647	0.0125	0.0148514851485149	"Solobacterium_moorei"
"Eggerthia_catenaformis"	3	19	23.3525274661649	0.730923694779116	0.423287671232877	0.588445742770075	0.498016115010628	0.03125	0	"Eggerthia_catenaformis"
"Clostridium_ultunense"	4	5	0.177777777777778	0.485943775100402	0	0.548086012391274	0.838221600557352	0	0.0136363636363636	"Clostridium_ultunense"
"Granulicatella_elegans"	2	11	296.689524772613	0.716867469879518	0.757534246575343	0.385539545115134	0.531820247473716	0.075	0	"Granulicatella_elegans"
"Campylobacter_concisus"	4	29	630.693980566872	0.995983935742972	0.965753424657534	0.946760206655769	0.887426757778014	0.0645161290322581	0.0409090909090909	"Campylobacter_concisus"
"Prevotella_melaninogenica"	4	13	82.8469023026782	0.987951807228916	0.984931506849315	0.818661883715768	0.940485937799142	0	0.0227272727272727	"Prevotella_melaninogenica"
